entity_id,entity_type,canonical_name,original_name,source_doc_id,so_ky_hieu,method,confidence,evidence
ENT_0011,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,112025,73/2016/NĐ-CP,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Nguyễn Xuân Phúc', chuc_danh='Thủ tướng'"
ENT_0012,DoiTuongApDung,Doanh nghiệp bảo hiểm,Doanh nghiệp bảo hiểm,112025,73/2016/NĐ-CP,gemini,0.95,a) Doanh nghiệp bảo hiểm;
ENT_0013,DoiTuongApDung,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,112025,73/2016/NĐ-CP,gemini,0.95,b) Chi nhánh nước ngoài;
ENT_0014,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,112025,73/2016/NĐ-CP,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
ENT_0015,DoiTuongApDung,Đại lý bảo hiểm,Đại lý bảo hiểm,112025,73/2016/NĐ-CP,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
ENT_0016,DoiTuongApDung,"Tổ chức, cá nhân có liên quan","Các tổ chức, cá nhân khác có liên quan",112025,73/2016/NĐ-CP,gemini,0.9,"d) Các tổ chức, cá nhân khác có liên quan."
ENT_0017,LinhVuc,Bảo hiểm,Bảo hiểm,112025,73/2016/NĐ-CP,gemini,0.98,"Nghị định quy định chi tiết thi hành Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm"
ENT_0018,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,38128,37/2014/TT-NHNN,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Ngân hàng Nhà nước Việt Nam'
ENT_0019,NguoiKy,Đào Minh Tú,Đào Minh Tú,38128,37/2014/TT-NHNN,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Đào Minh Tú', chuc_danh='Phó Thống đốc'"
ENT_0020,LinhVuc,Phát hành và kho quỹ,Phát hành và kho quỹ,38128,37/2014/TT-NHNN,metadata,1.0,Trích từ metadata.csv: linh_vuc='Phát hành và kho quỹ'
ENT_0021,DoiTuongApDung,Các đơn vị thuộc Ngân hàng Nhà nước Việt Nam,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,38128,37/2014/TT-NHNN,gemini,0.95,1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
ENT_0022,DoiTuongApDung,Nhà máy in tiền Quốc gia,Nhà máy in tiền Quốc gia,38128,37/2014/TT-NHNN,gemini,0.95,2. Nhà máy in tiền Quốc gia.
ENT_0023,DoiTuongApDung,"Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền","Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền",38128,37/2014/TT-NHNN,gemini,0.95,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
ENT_0024,CoQuan,Quốc hội,Quốc hội,26750,67/2011/QH12,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Quốc hội'
ENT_0025,NguoiKy,Nguyễn Phú Trọng,Nguyễn Phú Trọng,26750,67/2011/QH12,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Nguyễn Phú Trọng', chuc_danh='Chủ tịch Quốc hội'"
ENT_0026,DoiTuongApDung,Kiểm toán viên,Kiểm toán viên,26750,67/2011/QH12,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_0027,DoiTuongApDung,Kiểm toán viên hành nghề,Kiểm toán viên hành nghề,26750,67/2011/QH12,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_0028,DoiTuongApDung,Doanh nghiệp kiểm toán,Doanh nghiệp kiểm toán,26750,67/2011/QH12,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_0029,DoiTuongApDung,Chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,Chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam,26750,67/2011/QH12,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_0030,DoiTuongApDung,Đơn vị được kiểm toán,Đơn vị được kiểm toán,26750,67/2011/QH12,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_0031,DoiTuongApDung,Tổ chức nghề nghiệp về kiểm toán,Tổ chức nghề nghiệp về kiểm toán,26750,67/2011/QH12,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_0032,DoiTuongApDung,"Tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập","Tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập",26750,67/2011/QH12,gemini,0.95,"Luật này áp dụng đối với kiểm toán viên, kiểm toán viên hành nghề, doanh nghiệp kiểm toán, chi nhánh doanh nghiệp kiểm toán nước ngoài tại Việt Nam, đơn vị được kiểm toán, tổ chức nghề nghiệp về kiểm toán và tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán độc lập."
ENT_0033,LinhVuc,Kế toán - Kiểm toán,Kế toán - Kiểm toán,26750,67/2011/QH12,gemini,0.98,Luật Kiểm toán độc lập
ENT_0034,CoQuan,Chính phủ,Chính phủ,163441,46/2023/NĐ-CP,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Chính phủ'
ENT_0035,NguoiKy,Lê Minh Khái,Lê Minh Khái,163441,46/2023/NĐ-CP,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Lê Minh Khái', chuc_danh='Phó Thủ tướng Chính phủ'"
ENT_0036,LinhVuc,Bảo hiểm,Bảo hiểm,163441,46/2023/NĐ-CP,metadata,1.0,Trích từ metadata.csv: linh_vuc='Bảo hiểm'
ENT_0037,DoiTuongApDung,Doanh nghiệp bảo hiểm phi nhân thọ,Doanh nghiệp bảo hiểm phi nhân thọ,163441,46/2023/NĐ-CP,gemini,0.98,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe"
ENT_0038,DoiTuongApDung,Doanh nghiệp bảo hiểm nhân thọ,Doanh nghiệp bảo hiểm nhân thọ,163441,46/2023/NĐ-CP,gemini,0.98,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe"
ENT_0039,DoiTuongApDung,Doanh nghiệp bảo hiểm sức khỏe,Doanh nghiệp bảo hiểm sức khỏe,163441,46/2023/NĐ-CP,gemini,0.98,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe"
ENT_0040,DoiTuongApDung,Doanh nghiệp tái bảo hiểm,Doanh nghiệp tái bảo hiểm,163441,46/2023/NĐ-CP,gemini,0.98,"doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm"
ENT_0041,DoiTuongApDung,Đại lý bảo hiểm,Đại lý bảo hiểm,163441,46/2023/NĐ-CP,gemini,0.98,"doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm"
ENT_0042,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,163441,46/2023/NĐ-CP,gemini,0.98,"doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm"
ENT_0043,DoiTuongApDung,"Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm","Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm",163441,46/2023/NĐ-CP,gemini,0.98,"tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm"
ENT_0044,DoiTuongApDung,Tổ chức tương hỗ cung cấp bảo hiểm vi mô,Tổ chức tương hỗ cung cấp bảo hiểm vi mô,163441,46/2023/NĐ-CP,gemini,0.98,tổ chức tương hỗ cung cấp bảo hiểm vi mô
ENT_0045,DoiTuongApDung,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,163441,46/2023/NĐ-CP,gemini,0.98,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài"
ENT_0046,DoiTuongApDung,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,163441,46/2023/NĐ-CP,gemini,0.98,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài"
ENT_0047,DoiTuongApDung,Văn phòng đại diện của tổ chức tín dụng nước ngoài tại Việt Nam,Văn phòng đại diện nước ngoài tại Việt Nam,163441,46/2023/NĐ-CP,gemini,0.98,"Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)"
ENT_0048,DoiTuongApDung,Bên mua bảo hiểm,Bên mua bảo hiểm,163441,46/2023/NĐ-CP,gemini,0.98,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
ENT_0049,DoiTuongApDung,Người được bảo hiểm,Người được bảo hiểm,163441,46/2023/NĐ-CP,gemini,0.98,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
ENT_0050,DoiTuongApDung,Người thụ hưởng,Người thụ hưởng,163441,46/2023/NĐ-CP,gemini,0.98,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
ENT_0051,DoiTuongApDung,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,163441,46/2023/NĐ-CP,gemini,0.98,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
ENT_0052,DoiTuongApDung,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,163441,46/2023/NĐ-CP,gemini,0.98,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
ENT_0053,CoQuan,Chính phủ,Chính phủ,146468,156/2020/NĐ-CP,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Chính phủ'
ENT_0054,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,146468,156/2020/NĐ-CP,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Nguyễn Xuân Phúc', chuc_danh='Thủ tướng'"
ENT_0055,LinhVuc,Chứng khoán,Chứng khoán,146468,156/2020/NĐ-CP,metadata,1.0,Trích từ metadata.csv: linh_vuc='Chứng khoán'
ENT_0056,DoiTuongApDung,"Tổ chức, cá nhân có liên quan","tổ chức, cá nhân liên quan",146468,156/2020/NĐ-CP,gemini,0.92,"Bộ trưởng Bộ Tài chính, Bộ trưởng, Thủ trưởng cơ quan ngang bộ, Thủ trưởng cơ quan thuộc Chính phủ, Chủ tịch Ủy ban nhân dân tỉnh, thành phố trực thuộc trung ương và các tổ chức, cá nhân liên quan chịu trách nhiệm thi hành Nghị định này."
ENT_0057,DoiTuongApDung,"Cá nhân, tổ chức bị xử phạt vi phạm hành chính","cá nhân, tổ chức bị xử phạt vi phạm hành chính",146468,156/2020/NĐ-CP,gemini,0.9,"ban hành trước ngày Nghị định này có hiệu lực thi hành mà cá nhân, tổ chức bị xử phạt vi phạm hành chính còn khiếu nại"
ENT_0058,LinhVuc,Xử phạt vi phạm hành chính,Xử phạt vi phạm hành chính,146468,156/2020/NĐ-CP,gemini,0.95,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
ENT_0059,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,168220,27/2024/TT-NHNN,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Ngân hàng Nhà nước Việt Nam'
ENT_0060,NguoiKy,Đào Minh Tú,Đào Minh Tú,168220,27/2024/TT-NHNN,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Đào Minh Tú', chuc_danh='Phó Thống đốc'"
ENT_0061,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",168220,27/2024/TT-NHNN,metadata,1.0,"Trích từ metadata.csv: linh_vuc='Thanh tra, giám sát ngân hàng'"
ENT_0062,DoiTuongApDung,Ngân hàng hợp tác xã,Ngân hàng hợp tác xã,168220,27/2024/TT-NHNN,gemini,0.98,1. Ngân hàng hợp tác xã.
ENT_0063,DoiTuongApDung,Quỹ tín dụng nhân dân,Quỹ tín dụng nhân dân,168220,27/2024/TT-NHNN,gemini,0.98,2. Quỹ tín dụng nhân dân.
ENT_0064,DoiTuongApDung,"Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này","Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này",168220,27/2024/TT-NHNN,gemini,0.95,"3. Tổ chức, cá nhân có liên quan đến phạm vi điều chỉnh quy định tại Điều 1 Thông tư này."
ENT_0065,LinhVuc,Ngân hàng,Ngân hàng,168220,27/2024/TT-NHNN,gemini,0.95,"hoạt động trong lĩnh vực ngân hàng với mục tiêu chủ yếu là liên kết, bảo đảm an toàn của hệ thống"
ENT_0066,CoQuan,Chính phủ,Chính phủ,133858,05/2019/NĐ-CP,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Chính phủ'
ENT_0067,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,133858,05/2019/NĐ-CP,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Nguyễn Xuân Phúc', chuc_danh='Thủ tướng'"
ENT_0068,CoQuan,Bộ Tài chính,Bộ Tài chính,133858,05/2019/NĐ-CP,gemini,0.99,Theo đề nghị của Bộ trưởng Bộ Tài chính;
ENT_0069,CoQuan,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương","Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",133858,05/2019/NĐ-CP,gemini,0.95,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
ENT_0070,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước,133858,05/2019/NĐ-CP,gemini,0.95,do Ngân hàng Nhà nước ban hành.
ENT_0071,DoiTuongApDung,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ","Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",133858,05/2019/NĐ-CP,gemini,0.95,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
ENT_0072,DoiTuongApDung,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương","Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",133858,05/2019/NĐ-CP,gemini,0.95,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
ENT_0073,DoiTuongApDung,Các đơn vị sự nghiệp công lập,Các đơn vị sự nghiệp công lập,133858,05/2019/NĐ-CP,gemini,0.95,c) Các đơn vị sự nghiệp công lập;
ENT_0074,DoiTuongApDung,Các doanh nghiệp,Các doanh nghiệp,133858,05/2019/NĐ-CP,gemini,0.95,d) Các doanh nghiệp;
ENT_0075,DoiTuongApDung,Tổ chức tín dụng,Tổ chức tín dụng,133858,05/2019/NĐ-CP,gemini,0.95,3. Công tác kiểm toán nội bộ của tổ chức tín dụng thực hiện theo Luật các tổ chức tín dụng
ENT_0076,DoiTuongApDung,Ngân hàng Nhà nước,Ngân hàng Nhà nước,133858,05/2019/NĐ-CP,gemini,0.95,4. Công tác kiểm toán nội bộ của Ngân hàng Nhà nước thực hiện theo Luật Ngân hàng Nhà nước
ENT_0077,LinhVuc,Kế toán - Kiểm toán,Kế toán - Kiểm toán,133858,05/2019/NĐ-CP,gemini,0.95,Chính phủ ban hành Nghị định về kiểm toán nội bộ.
ENT_0078,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,169221,43/2024/TT-NHNN,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Ngân hàng Nhà nước Việt Nam'
ENT_0079,NguoiKy,Phạm Thanh Hà,Phạm Thanh Hà,169221,43/2024/TT-NHNN,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Phạm Thanh Hà', chuc_danh='Phó Thống đốc'"
ENT_0080,LinhVuc,Quản lý ngoại hối,Quản lý ngoại hối,169221,43/2024/TT-NHNN,metadata,1.0,Trích từ metadata.csv: linh_vuc='Quản lý ngoại hối'
ENT_0081,DoiTuongApDung,Chánh Văn phòng,Chánh Văn phòng,169221,43/2024/TT-NHNN,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
ENT_0082,DoiTuongApDung,Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước,Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước,169221,43/2024/TT-NHNN,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
ENT_0083,DoiTuongApDung,Các đơn vị thuộc Ngân hàng Nhà nước Việt Nam,Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam,169221,43/2024/TT-NHNN,gemini,0.95,"Chánh Văn phòng, Cục trưởng Cục Quản lý dự trữ ngoại hối nhà nước và Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước Việt Nam chịu trách nhiệm tổ chức thực hiện Thông tư này."
ENT_0084,CoQuan,Chính phủ,Chính phủ,95652,135/2015/NĐ-CP,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Chính phủ'
ENT_0085,NguoiKy,Nguyễn Tấn Dũng,Nguyễn Tấn Dũng,95652,135/2015/NĐ-CP,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Nguyễn Tấn Dũng', chuc_danh='Thủ tướng Chính phủ'"
ENT_0086,DoiTuongApDung,"Nhà đầu tư (Tổ chức kinh tế, cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài)","Nhà đầu tư (Tổ chức kinh tế, cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài)",95652,135/2015/NĐ-CP,gemini,0.95,"1. Nhà đầu tư gồm các đối tượng sau:
a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư;
b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài."
ENT_0087,DoiTuongApDung,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài,95652,135/2015/NĐ-CP,gemini,0.95,2. Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
ENT_0088,DoiTuongApDung,"Tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài","Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài",95652,135/2015/NĐ-CP,gemini,0.95,"3. Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
ENT_0089,LinhVuc,Quản lý ngoại hối,Quản lý ngoại hối,95652,135/2015/NĐ-CP,gemini,0.92,"Căn cứ Pháp lệnh Ngoại hối ngày 13 tháng 12 năm 2005 và Pháp lệnh sửa đổi, bổ sung một số điều của Pháp lệnh Ngoại hối ngày 18 tháng 3 năm 2013"
ENT_0090,LinhVuc,Chứng khoán,Chứng khoán,95652,135/2015/NĐ-CP,gemini,0.9,"Nghị định này quy định chi tiết về hoạt động đầu tư ra nước ngoài dưới hình thức mua, bán chứng khoán, các giấy tờ có giá khác hoặc đầu tư thông qua các quỹ đầu tư chứng khoán"
ENT_0091,LinhVuc,Đầu tư,Đầu tư,95652,135/2015/NĐ-CP,gemini,0.95,Nghị định quy định về đầu tư gián tiếp ra nước ngoài.
ENT_0092,CoQuan,Bộ Tài chính,Bộ Tài chính,f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,metadata,1.0,Trích từ metadata.csv: co_quan_ban_hanh='Bộ Tài chính'
ENT_0093,NguoiKy,Nguyễn Đức Chi,Nguyễn Đức Chi,f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,metadata,1.0,"Trích từ metadata.csv: nguoi_ky='Nguyễn Đức Chi', chuc_danh='Thứ trưởng'"
ENT_0094,CoQuan,Chính phủ,Chính phủ,f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,gemini,0.95,Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
ENT_0095,DoiTuongApDung,"Tổ chức, cá nhân có liên quan","Tổ chức, cá nhân liên quan",f69936f0-6937-11f1-a48d-29bc6b0fd706,17/VBHN-BTC,gemini,0.9,"các tổ chức, cá nhân liên quan chịu trách nhiệm thi hành Nghị định này"
