source,target,relationship_type,source_type,target_type,method,confidence,evidence
27/2024/TT-NHNN,24/2023/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"đ) Điều 1 Thông tư số 24/2023/TT-NHNN ngày 30 tháng 12 năm 2023 sửa đổi, bổ sung một số điều của các Thông tư liên quan đến việc nộp, xuất trình, cung cấp thông tin, giấy tờ về dân cư khi thực hiện thủ tục hành chính trong lĩnh vực thành lập và hoạt động ngân hàng."
27/2024/TT-NHNN,21/2023/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"đ) Điều 2 Thông tư 21/2023/TT-NHNN sửa đổi, bổ sung một số điều của các Thông tư liên quan đến hoạt động kinh doanh thuộc phạm vi, chức năng quản lý của Ngân hàng Nhà nước Việt Nam."
43/2024/TT-NHNN,01/2014/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Sửa đổi, bổ sung một số điều của Thông tư số 01/2014/TT-NHNN ngày 10"
43/2024/TT-NHNN,50/2014/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Nghị định số 50/2014/NĐ-CP ngày 20 tháng 5 năm 2014 của Chính phủ về quản lý dự trữ ngoại hối nhà nước;
43/2024/TT-NHNN,102/2022/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
43/2024/TT-NHNN,12/2023/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"...a đổi, bổ sung khoản 1 và khoản 5 Điều 14 (đã được sửa đổi, bổ sung bởi khoản 11 Điều 1 Thông tư số 12/2023/TT-NHNN ngày 12/10/2023 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của các văn ..."
43/2024/TT-NHNN,01/2020/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"... bổ sung điểm a và điểm c khoản 2 Điều 30 (đã được sửa đổi, bổ sung bởi khoản 13 Điều 1 Thông tư số 01/2020/TT-NHNN ngày 31/12/2020 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của Thông tư..."
43/2024/TT-NHNN,01/2014/TT-NHNN,THAM_CHIEU,Document,Document,rule,0.95,"Điều 2. Thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN"
01/2014/TT-NHNN,43/2024/TT-NHNN,THAY_THE_BOI,Document,Document,rule,0.95,"Điều 2. Thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN"
12/2023/TT-NHNN,43/2024/TT-NHNN,THAY_THE_BOI,Document,Document,rule,0.95,"1. Thay thế Phụ lục số 01, Phụ lục số 03, Phụ lục số 04, Phụ lục số 06, Phụ lục số 07 và Phụ lục số 08 (đã được thay thế bởi Thông tư số 12/2023/TT-NHNN) bằng Phụ lục số 01, Phụ lục số 03, Phụ lục số 04, Phụ lục số 06, Phụ lục số 07 và Phụ lục số 08 tương ứng ban hành kèm theo Thông tư này."
43/2024/TT-NHNN,01/2020/TT-NHNN,THAM_CHIEU,Document,Document,rule,0.95,"2. Thông tư này bãi bỏ khoản 3, khoản 4, khoản 5, khoản 9, khoản 16 Điều 1, khoản 3, khoản 4 Điều 2 Thông tư số 01/2020/TT-NHNN."
43/2024/TT-NHNN,12/2023/TT-NHNN,THAM_CHIEU,Document,Document,rule,0.95,"3. Thông tư này bãi bỏ điểm a khoản 2, điểm b khoản 3, khoản 4, khoản 5, khoản 6, khoản 8, khoản 12 và khoản 16, điểm b khoản 20 Điều 1 và Phụ lục số 09 Thông tư số 12/2023/TT-NHNN."
17/VBHN-BTC,156/2020/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán, có hiệu lực thi hành kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi:"
17/VBHN-BTC,128/2021/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Nghị định số 128/2021/NĐ-CP ngày 30 tháng 12 năm 2021 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 156/2020/NĐ-C..."
17/VBHN-BTC,306/2025/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Nghị định số 306/2025/NĐ-CP ngày 25 tháng 11 năm 2025 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 156/2020/NĐ-C..."
17/VBHN-BTC,158/2020/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,...t số điều theo Nghị định số 128/2021/NĐ-CP ngày 30 tháng 12 năm 2021 của Chính phủ) và Nghị định số 158/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ về chứng khoán phái sinh và thị trường chứng khoán phái sin...
17/VBHN-BTC,108/2013/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,2. Nghị định số 108/2013/NĐ-CP ngày 23 tháng 9 năm 2013 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng kho...
17/VBHN-BTC,145/2016/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"...ịnh xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán và Nghị định số 145/2016/NĐ-CP ngày 01 tháng 11 năm 2016 của Chính phủ sửa đổi, bổ sung một số điều của Nghị định số 108/2013/NĐ-C..."
57/2024/TT-NHNN,102/2022/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
57/2024/TT-NHNN,162/2024/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Nghị định số 162/2024/NĐ-CP ngày 20 tháng 12 năm 2024 của Chính phủ quy định điều kiện cấp Giấy phép đối với quỹ tín dụng nhân ...
44/2011/TT-NHNN,46/2010/QH12,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;
44/2011/TT-NHNN,47/2010/QH12,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Luật Các tổ chức tín dụng số 47/2010/QH12 ngày 16 tháng 6 năm 2010;
44/2011/TT-NHNN,96/2008/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 96/2008/NĐ-CP ngày 26/8/2008 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
66/2020/TT-BTC,88/2015/QH,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Luật kế toán số 88/2015/QH 13 ngày 20 tháng 11 năm 2015;
66/2020/TT-BTC,05/2019/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ;
29/2024/TT-NHNN,102/2022/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
29/2024/TT-NHNN,06/2007/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"...eo ngành nghề, quỹ tín dụng nhân dân hoạt động theo từng doanh nghiệp được quy định tại Thông tư số 06/2007/TT-NHNN ngày 06 tháng 11 năm 2007 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung Thông tư số 08/2005/TT-..."
29/2024/TT-NHNN,08/2005/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"...007/TT-NHNN ngày 06 tháng 11 năm 2007 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung Thông tư số 08/2005/TT-NHNN ngày 30 tháng 12 năm 2005 của Ngân hàng Nhà nước hướng dẫn thực hiện Nghị định số 48/2001/NĐ-CP ngà..."
29/2024/TT-NHNN,48/2001/NĐ-CP,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,...ố 08/2005/TT-NHNN ngày 30 tháng 12 năm 2005 của Ngân hàng Nhà nước hướng dẫn thực hiện Nghị định số 48/2001/NĐ-CP ngày 13/8/2001 về tổ chức và hoạt động của quỹ tín dụng nhân dân và Nghị định số
29/2024/TT-NHNN,06/2017/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"b) Thông tư số 06/2017/TT-NHNN ngày 05/7/2017 của Thống đốc Ngân hàng sửa đổi, bổ sung một số điều của Thông tư số 03/2014/TT-NHNN..."
29/2024/TT-NHNN,03/2014/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"...06/2017/TT-NHNN ngày 05/7/2017 của Thống đốc Ngân hàng sửa đổi, bổ sung một số điều của Thông tư số 03/2014/TT-NHNN ngày 23/01/2014 của Thống đốc Ngân hàng Nhà nước quy định về quỹ bảo đảm an toàn hệ thống quỹ tín d..."
29/2024/TT-NHNN,04/2015/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,...ốc Ngân hàng Nhà nước quy định về quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân và Thông tư số 04/2015/TT-NHNN ngày 31/03/2015 của Thống đốc Ngân hàng Nhà nước quy định về quỹ tín dụng nhân dân;
29/2024/TT-NHNN,21/2019/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"c) Điều 2, khoản 1 Điều 6 Thông tư 21/2019/TT-NHNN ngày 14/11/2019 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung một số điều của các Thông tư quy định về ngân hàng hợp tác xã, quỹ tín dụng nhân dân và quỹ bảo đảm an toàn hệ thống quỹ tín dụng nhân dân;"
29/2024/TT-NHNN,01/2023/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"d) Thông tư số 01/2023/TT-NHNN ngày 01/3/2023 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung một số điều của Thông tư số 04/2015/TT-NHNN ngày 31/3/2015 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về quỹ tín dụng nhân dân;"
29/2024/TT-NHNN,24/2023/TT,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"đ) Điều 2 Thông tư số 24/2023/TT- NHNN ngày 29/12/2023 của Thống đốc Ngân hàng Nhà nước sửa đổi, bổ sung một số điều của các Thông tư liên quan đến việc nộp. xuất trình, cung cấp thông tin, giấy tờ về dân cư khi thực hiện thủ tục hành chính trong lĩnh vực thành lập và hoạt động ngân hàng."
08/2021/TT-BTC,88/2015/QH13,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Luật kế toán số 88/2015/QH13 ngày 20 tháng 11 năm 2015;
08/2021/TT-BTC,05/2019/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ;
08/2021/TT-BTC,87/2017/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 87/2017/NĐ-CP ngày 26 tháng 7 năm 2017 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Bộ Tài chính;"
69/2025/TT-NHNN,46/2010/QH12,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
69/2025/TT-NHNN,32/2024/QH15,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
69/2025/TT-NHNN,96/2025/QH15,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
69/2025/TT-NHNN,32/2024/QH15,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
69/2025/TT-NHNN,96/2025/QH15,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
69/2025/TT-NHNN,26/2025/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
69/2025/TT-NHNN,19/2013/TT,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 19/2013/TT-"
69/2025/TT-NHNN,43/2015/TT,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 43/2015/TT-"
69/2025/TT-NHNN,53/2018/TT,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 53/2018/TT-"
53/2018/TT-NHNN,69/2025/TT-NHNN,THAY_THE_BOI,Document,Document,rule,0.95,Điều 25. Thay thế Phụ lục ban hành kèm theo Thông tư 53/2018/TT-NHNN
69/2025/TT-NHNN,14/2015/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"a) Khoản 8, khoản 14 Điều 1 Thông tư 14/2015/TT-NHNN sửa đổi bổ sung một số điều của Thông tư số 19/2013/TT-NHNN của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về việc mua, bán và xử lý nợ xấu của Công ty Quản lý tài sản của các tổ chức tín dụng Việt Nam;"
69/2025/TT-NHNN,19/2013/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"a) Khoản 8, khoản 14 Điều 1 Thông tư 14/2015/TT-NHNN sửa đổi bổ sung một số điều của Thông tư số 19/2013/TT-NHNN của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về việc mua, bán và xử lý nợ xấu của Công ty Quản lý tài sản của các tổ chức tín dụng Việt Nam;"
69/2025/TT-NHNN,03/2024/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"...oản 1 Điều 2; cụm từ ""khoản 2 Điều 12"", cụm từ ""các khoản 5, 6 Điều 13"" tại khoản 2 Điều 2 Thông tư 03/2024/TT-NHNN của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số Điều của Thông tư số 19/2013/TT-N..."
69/2025/TT-NHNN,27/2022/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"c) Cụm từ “điểm b khoản 3 Điều 10” tại điểm c khoản 5 Điều 1 Thông tư số 27/2022/TT-NHNN của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của các Thông tư quy định về phân cấp giải quyết thủ tục hành chính trong lĩnh vực thành lập và hoạt động ngân hàng;"
69/2025/TT-NHNN,30/2024/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"d) Khoản 7, khoản 9, khoản 14, điểm c khoản 15 Điều 1 Thông tư 30/2024/TT-NHNN của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của các Thông tư quy định về hồ sơ, thủ tục chấp thuận những thay đổi và mạng lưới hoạt động của tổ chức tín dụng phi ngân hàng."
105/2016/TT-BTC,28/2005/PL-UBTVQH,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Pháp lệnh Ngoại hối số 28/2005/PL-UBTVQH ngày 13 tháng 12 năm 2005;
105/2016/TT-BTC,06/2013/PL-UBTVQH13,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Căn cứ Pháp lệnh số 06/2013/PL-UBTVQH13 ngày 18 tháng 03 năm 2013 sửa đổi, bổ sung một số điều của Pháp lệnh Ngoại hối;"
105/2016/TT-BTC,06/2013/PL-UBTVQH13,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Pháp lệnh số 06/2013/PL-UBTVQH13 ngày 18 tháng 03 năm 2013 sửa đổi, bổ sung một số điều của Pháp lệnh Ngoại hối;"
62/2025/TT-NHNN,46/2010/QH12,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
62/2025/TT-NHNN,32/2024/QH15,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
62/2025/TT-NHNN,96/2025/QH15,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
62/2025/TT-NHNN,32/2024/QH15,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
62/2025/TT-NHNN,96/2025/QH15,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
62/2025/TT-NHNN,26/2025/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 26/2025/NĐ-CP của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
62/2025/TT-NHNN,44/2011/TT-NHNN,THAM_CHIEU,Document,Document,rule,0.95,"2. Thông tư này bãi bỏ Thông tư số 44/2011/TT-NHNN ngày 29 tháng 12 năm 2011 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
52/VBHN-NHNN,56/2024/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấ..."
52/VBHN-NHNN,12/2025/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,"1. Thông tư số 12/2025/TT-NHNN ngày 30 tháng 6 năm 2025 của Thống đốc Ngân hàng Nhà nước Việt Nam sửa đổi, bổ sung một số điều của..."
52/VBHN-NHNN,11/2026/TT-NHNN,SUA_DOI_BO_SUNG,Document,Document,rule,0.95,2. Thông tư số 11/2026/TT-NHNN ngày 19 tháng 5 năm 2026 của Thống đốc Ngân hàng Nhà nước Việt Nam phân cấp thực hiện thủ tục hành ...
52/VBHN-NHNN,102/2022/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 102/2022/NĐ-CP ngày 12 tháng 12 năm 2022 của Chính phủ quy định chức năng, nhiệm vụ, quyền hạn và cơ cấu tổ chức của Ngân hàng Nhà nước Việt Nam;"
52/VBHN-NHNN,162/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Nghị định số 162/NĐ-CP ngày 20 tháng 12 năm 2024 của Chính phủ quy định điều kiện cấp Giấy phép đối với quỹ tín dụng nhân dân, tổ chức tài chính vi mô và điều kiện đối với chủ sở hữu của tổ chức tín dụng là công ty trách nhiệm hữu hạn một thành viên, cổ đông sáng lập, thành viên sáng lập;"
52/VBHN-NHNN,2024/TT-NHNN,THAM_CHIEU,Document,Document,rule,0.95,"Căn cứ Thông tư số .../2024/TT-NHNN ngày .. tháng ... năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài;"
52/VBHN-NHNN,162/2024/NĐ-CP,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Nghị định số 162/2024/NĐ-CP ngày 20 tháng 12 năm 2024 của Chính phủ quy định điều kiện cấp Giấy phép đối với quỹ tín dụng nhân ...
63/2025/TT-NHNN,46/2010/QH12,THAM_CHIEU,Document,Document,rule,0.95,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
